File	Line	Description
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		Class SciChart.Data.Numerics.PointResamplers.NativePointResamplerFactory.Al has unknown base type com.scichart.data.numerics.pointresamplers.a.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		Class SciChart.Data.Numerics.PointResamplers.NativePointResamplerFactory.Am has unknown base type com.scichart.data.numerics.pointresamplers.a.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		Class SciChart.Data.Numerics.PointResamplers.NativePointResamplerFactory.An has unknown base type com.scichart.data.numerics.pointresamplers.a.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		Class SciChart.Data.Numerics.PointResamplers.NativePointResamplerFactory.Ao has unknown base type com.scichart.data.numerics.pointresamplers.a.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		Class SciChart.Data.Numerics.PointResamplers.NativePointResamplerFactory.Ap has unknown base type com.scichart.data.numerics.pointresamplers.a.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		Class SciChart.Data.Numerics.PointResamplers.NativePointResamplerFactory.Aq has unknown base type com.scichart.data.numerics.pointresamplers.a.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		Class SciChart.Data.Numerics.PointResamplers.NativePointResamplerFactory.Ar has unknown base type com.scichart.data.numerics.pointresamplers.a.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		Class SciChart.Data.Numerics.PointResamplers.NativePointResamplerFactory.As has unknown base type com.scichart.data.numerics.pointresamplers.a.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		Class SciChart.Data.Numerics.PointResamplers.NativePointResamplerFactory.At has unknown base type com.scichart.data.numerics.pointresamplers.a.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		Class SciChart.Data.Numerics.PointResamplers.NativePointResamplerFactory.Au has unknown base type com.scichart.data.numerics.pointresamplers.a.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		Class SciChart.Data.Numerics.PointResamplers.NativePointResamplerFactory.Av has unknown base type com.scichart.data.numerics.pointresamplers.a.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		Class SciChart.Data.Numerics.PointResamplers.NativePointResamplerFactory.Aw has unknown base type com.scichart.data.numerics.pointresamplers.a.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Core\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<T>': Type 'T' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Core\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<T>': Type 'T' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Core\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<T>': Type 'T' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Core\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<T>': Type 'T' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Core\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<T>': Type 'T' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Core\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<T>': Type 'T' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Core\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<T>': Type 'T' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Core\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<T>': Type 'T' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<T>': Type 'T' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<T>': Type 'T' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<T>': Type 'T' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<T>': Type 'T' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<T>': Type 'T' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<T>': Type 'T' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<T>': Type 'T' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<T>': Type 'T' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<T>': Type 'T' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<T>': Type 'T' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<T>': Type 'T' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<T>': Type 'T' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<T>': Type 'T' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<T>': Type 'T' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<T>': Type 'T' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<TValue>': Type 'TValue' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<TValue>': Type 'TValue' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<TValue>': Type 'TValue' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<TValue>': Type 'TValue' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<TX>': Type 'TX' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<TX>': Type 'TX' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<TY>': Type 'TY' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		failed to resolve generic constraint: 'java.lang.Comparable<TY>': Type 'TY' was not found.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		For type SciChart.Core.Model.DoubleValues, base interface SciChart.Core.Model.IValues`1<System.Double> does not exist.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		For type SciChart.Core.Model.DoubleValues, base interface SciChart.Core.Model.IValues`1<System.Double> does not exist.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		For type SciChart.Core.Model.FloatValues, base interface SciChart.Core.Model.IValues`1<System.Single> does not exist.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		For type SciChart.Core.Model.IntegerValues, base interface SciChart.Core.Model.IValues`1<System.Int32> does not exist.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		For type SciChart.Core.Model.IntegerValues, base interface SciChart.Core.Model.IValues`1<System.Int32> does not exist.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		For type SciChart.Data.Model.DoubleRange, base interface SciChart.Data.Model.IRange`1<System.Double> does not exist.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		For type SciChart.Data.Model.IndexRange, base interface SciChart.Data.Model.IRange`1<System.Int32> does not exist.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Tests\CSC	1	Metadata file 'F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\bin\Debug\SciChart.Charting.dll' could not be found
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		Skipping SciChart.Charting.Modifiers.Behaviors.Slice.XyCoordinate, due to a duplicate field, method or nested type name.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		Skipping SciChart.Charting.Visuals.RenderableSeries.Data.SeriesRenderPassData.Lock, due to a duplicate field, method or nested type name.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		Skipping SciChart.Charting.Visuals.RenderableSeries.HorizontallyStackedColumnsCollection.Spacing, due to a duplicate field, method or nested type name.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		Skipping SciChart.Charting.Visuals.RenderableSeries.HorizontallyStackedColumnsCollection.SpacingMode, due to a duplicate field, method or nested type name.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		Skipping SciChart.Charting.Visuals.RenderableSeries.VerticallyStackedSeriesCollection.IsOneHundredPercent, due to a duplicate field, method or nested type name.
C:\Program Files (x86)\MSBuild\Xamarin\Android\Xamarin.Android.Common.targets	1054	The "ResolveLibraryProjectImports" task failed unexpectedly.
System.IO.FileNotFoundException: Could not load assembly 'SciChart.Charting, Version=, Culture=neutral, PublicKeyToken='. Perhaps it doesn't exist in the Mono for Android profile?
File name: 'SciChart.Charting.dll'
   at Java.Interop.Tools.Cecil.DirectoryAssemblyResolver.Resolve(AssemblyNameReference reference, ReaderParameters parameters)
   at Java.Interop.Tools.Cecil.DirectoryAssemblyResolver.Resolve(String fullName, ReaderParameters parameters)
   at Java.Interop.Tools.Cecil.DirectoryAssemblyResolver.Resolve(String fullName)
   at Java.Interop.Tools.Cecil.DirectoryAssemblyResolver.GetAssembly(String fileName)
   at Xamarin.Android.Tasks.ResolveLibraryProjectImports.Extract(ICollection`1 jars, ICollection`1 resolvedResourceDirectories, ICollection`1 resolvedAssetDirectories, ICollection`1 resolvedEnvironments)
   at Xamarin.Android.Tasks.ResolveLibraryProjectImports.Execute()
   at Microsoft.Build.BackEnd.TaskExecutionHost.Microsoft.Build.BackEnd.ITaskExecutionHost.Execute()
   at Microsoft.Build.BackEnd.TaskBuilder.<ExecuteInstantiatedTask>d__26.MoveNext()
		The project 'SciChart.Charting' cannot be referenced. The referenced project is targeted to a different framework family (MonoAndroid)
		The project 'SciChart.Core' cannot be referenced. The referenced project is targeted to a different framework family (MonoAndroid)
		The project 'SciChart.Data' cannot be referenced. The referenced project is targeted to a different framework family (MonoAndroid)
		The project 'SciChart.Drawing' cannot be referenced. The referenced project is targeted to a different framework family (MonoAndroid)
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		top ancestor d not found for nested type SciChart.Charting.Visuals.Axes.D.IA.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		top ancestor e not found for nested type SciChart.Charting.Visuals.Axes.E.IA.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		top ancestor f not found for nested type SciChart.Charting.Visuals.Axes.F.IA.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		Type com.scichart.charting.model.dataSeries.DataSeries: FxDG naming violation: Type name 'DataSeries' matches namespace part 'DataSeries'.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		Type com.scichart.charting.model.dataSeries.DataSeries: FxDG naming violation: Type name 'DataSeries' matches namespace part 'DataSeries'.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		unexpected field type com.scichart.charting.visuals.renderableSeries.h in managed type SciChart.Charting.Visuals.RenderableSeries.BaseRenderableSeries.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		unexpected field type com.scichart.charting.visuals.renderableSeries.h in managed type SciChart.Charting.Visuals.RenderableSeries.StackedSeriesCollectionBase.
